responsable,estado,escuela,nivel,cct,colonia,alcaldia,trabajos_finales,trabajos_solicitados,modalidad,avance
DGCOP,CONTRATADO,ESCUELA SECUNDARIA TÉCNICA 36,SECUNDARIA,09DST0036O,JARDIN BALBUENA I,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- AULA DIGITAL","- OTROS (SUSTITUCIÓN DE LÁMINA DE ASBESTO)
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (REFORZAMIENTO DE CASTILLOS)
- IMPERMEABILIZACIÓN",PRESENCIAL,95.00%
DGCOP,CONTRATADO,ARTEMIO DE VALLE ARIZPE,PRIMARIA,09DPR2313C,EL PARQUE,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- OTROS (CUARTO DE MÁQUINAS Y BAÑOS DE ALBERCA)
- AULA DIGITAL","-OTRO(REHABILITACION DE ALBERCA Y CUARTO DE MAQUINAS)
-OTROS(REHABILITACION DE NUCLOS SANITARIOS DE ALBERCA Y PATIOS)
-PINTURA EN EDIFICIOS Y AULAS 
-REHABILITACION DE CANCELERIA Y HERRERIA
-CONSTRUCCION DE AULA DE  AULAS DE USOS MULTIPLES
-IMPERMEABILIZACIÓN",PRESENCIAL,100.00%
DGCOP,CONTRATADO,CENTRO DE ATENCIÓN MÚLTIPLE No. 86,ESPECIAL - CAM,09DML0056Z,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- IMPERMEABILIZACIÓN
- OTROS (CUBIERTA DE POLICARBONATO Y COLOCACIÓN DE TABLA ROCA)","-IMPERMEABILIZACIÓN
-CONSTRUCCIÓN DE CUBIERTA EN PATIO
-OTROS(IMPERMEABILIZACION DE CISTERNA)
-OTROS(COSTRUCCIÓN DE RAMPA)
-OTROS(BOMBAS DE CISTERNA)
-CONSTRUCCIÓN DE AULAS MULTIPLES",PRESENCIAL,95.00%
DGCOP,CONTRATADO,CENTRO DE ATENCIÓN MÚLTIPLE No. 77,ESPECIAL - CAM,09DML0076M,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- IMPERMEABILIZACIÓN
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS (MOVIMIENTO DE AULA MULTISENSORIAL)
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","-OTROS(AULA MULTISENSORIAL Y SALON 6to)
-IMPERMEABILIZACIÓN
-CONSTRUCCIÓN DE CUBIERTA EN PATIO
-REHABILITACIÓN DE CANCELERIA Y HERRERIA 
-REHABILITACIÓN  DE INSTALACIÓN ELÉCTRICAS",PRESENCIAL,96.50%
DGCOP,CONTRATADO,EDUARDO CLAPAREDE,PREESCOLAR,09DJN0390D,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REPARACIÓN DE PISOS CERAMICOS
-REHABILITACIÓN DE CANCELERIA Y HERRERIA
-REHABILITACIÓN DE NUCLEOS SANITARIOS
-PINTURA EN EDIFICIOS Y AULAS
-OTROS(REHABILITACIÓN DE TECHOS Y PASILLOS)",PRESENCIAL,96.50%
DGCOP,CONTRATADO,PACTO FEDERAL,PREESCOLAR,09DJN1080G,EL ROSARIO A (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- REHABILITACIÓN DE AULAS DE USOS MÚLTIPLES
- OTROS (CONSTRUCCIÓN DE RAMPA DE ACCESO AL SALÓN DE USOS MÚLTIPLES)","-REHABILITACIÓN DE NUCLEOS SANITARIOS 
-REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
-REHABILITACIÓN DE CANCELERIA Y HERRERIA
-REPARACIÓN DE PISOS CERÁMICOS",EN LINEA,97.00%
DGCOP,CONTRATADO,PROFR. TADEO DE LA GARZA GUTIERREZ,PREESCOLAR,09DJN0010E,EL ROSARIO A (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE INSTALACIONES ELECTRICAS
-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y AULAS",EN LINEA,88.95%
DGCOP,CONTRATADO,GRAL. FRANCISCO VILLA,PRIMARIA,09DPR3030C,EL ROSARIO B (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (REFORZAMIENTO DE LAS BASES DE TINACOS, REHABILITACION DE MALLA CICLONICA)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACIÓN DE INSTALACIÓN HIDROSANITARIA
-REHABILITACIÓN DE ESCALERA DE EMERGENCIA
-REHABILITACIÓN DE PISOS EN ANDADORES Y PATIOS 
-PINTURA EN EDIFICIOS Y AULAS
-REPARACIÓN DE PISOS CERÁMICOS
-REPARACIÓN DE INSTALACIONES ELECTRICAS",EN LINEA,98.99%
DGCOP,CONTRATADO,PROFRA. ROSA TORRE GONZÁLEZ,PRIMARIA,09DPR2446T,EL ROSARIO A (U HAB),AZCAPOTZALCO,"- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACIÓN DE MURO PERIMETRAL
-CONSTRUCCION DE CUBIERTA EN PATIOS
-OTROS(PUERTAS EN SALONES)
-REHABILITACIÓN DE INSTALACIONES ELECTRICAS
-REHABILITACIÓN DE PISOS EN ANDADORES O PATIOS",PRESENCIAL,94.85%
DGCOP,CONTRATADO,RUDYARD KIPLING,PREESCOLAR,09DJN0391C,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- OTROS (CONSTRUCCION DE BODEGA PREFABRICADA)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACIÓN DE NUCLEOS SANITARIOS
-IMPERMEABILIZACIÓN
-REHABILITACIÓN DE PISOS EN ANDADORES Y PATIOS
-REHABILITACION DE CANCELERIA Y HERRERIA
-OTROS(ADECUACIÓN DE BODEGA)
-OTROS(SUSTITUCIÓN DE TINACOS)",EN LINEA,97.25%
DGCOP,CONTRATADO,PROFRA. ELMIRA ROCHA GARCÍA,PRIMARIA,09DPR2495B,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE  INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE NUCLEOS SANITARIOS
IMPERMEABILIZACION
-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE PISOS EN ANDADORES Y PATIOS",EN LINEA,89.91%
DGCOP,CONTRATADO,LUIS BRAILLE,PREESCOLAR,09DJN0392B,EL ROSARIO B (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- IMPERMEABILIZACIÓN
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","-COSTRUCCION DE CUBIERTA EN PATIO
-PINTURA EN EDIFICIOS Y AULAS
-REHABILITACION DE NUCLEOS SANITARIOS
-OTROS(REHABILITACION DE MARQUESINA)
-OTROS(REPARACION DE ALBERCA DE PELOTAS)
-REPARACION DE PISOS CERAMICOS",EN LINEA,89.54%
DGCOP,CONTRATADO,NARCISO BASSOLS,PRIMARIA,09DPR3102F,EL ROSARIO A (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE PISOS, ANDADORES O PATIOS
-REHABILITACION DE NUCLEOS SANITARIOS 
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCCION DE AULAS DE USOS MULTIPLES",EN LINEA,94.60%
DGCOP,CONTRATADO,ITLATIUH,PREESCOLAR,09DJN0322G,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN","-OTROS(REPARACION DE MARQUESINA)
-REHABILITACION DE NUCLEOS SANITARIOS
-OTROS(COLOCACION DE PISOS)
-OTROS(REHABILITACION DE TINACOS)
-PINTURA EN EDIFICIOS Y AULAS
-IMPERMEABILIZACION",PRESENCIAL,27.21%
DGCOP,CONTRATADO,PROFRA. GUADALUPE CENICEROS DE ZAVALETA,PREESCOLAR,09DJN0440V,PRO HOGAR I,AZCAPOTZALCO,"- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA","-IMPERMEABILIZACION
-OTROS(CISTERNAS)
-OTROS(CONTENEDORES DE BASURA)
-OTROS(ANDADOR TECHADO)
-REHABILITACION DE CUBIERTAS
-REHABILITACION DE CANCELERIA Y HERRERIA",PRESENCIAL,22.51%
DGCOP,CONTRATADO,ROBERTO KOCH,PREESCOLAR,09DJN0525B,PRO HOGAR I,AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REAHBILITACIÓN DE MURO PERIMETRAL
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- CONSTRUCCIÓN DE ESCALERA DE EMERGENCIA
- PINTURA EN FACHADA","-REHABILITACION DE NUCLEOS SANITARIO
-REHABILITACION DE INSTALACIONES ELECTRICAS
-PINTURA EN EDIFICIOS Y/ O AULAS
-IMPERMEABILIZACION
-REHABILITACION DE ESCALERAS DE EMERGENCIA
-REHABILITACION HIDROSANITARIO",PRESENCIAL,22.26%
DGCOP,CONTRATADO,MAESTRA JUANA PALACIOS,PRIMARIA,09DPR1593W,PRO HOGAR I,AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (CONSTRUCCIÓN DE BANCAS)","-OTROS(REHABILITACION DE AULAS DE USOS MULTIPLES)
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-REHABILITACION DE CANCELERIA Y HERRERIA 
-OTROS(CONSTRUCCION DE BANCAS)
-OTROS(COSTRUCCION DE SANITARIOS)",PRESENCIAL,21.46%
DGCOP,CONTRATADO,ESTADO DE JALISCO,PRIMARIA,09DPR1572J,PRO HOGAR I,AZCAPOTZALCO,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN","-IMPOERMEABILIZACION
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-OTROS(BANCAS PARA RECREO)
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE NUCLEOS SANITARIOS",PRESENCIAL,64.01%
DGCOP,CONTRATADO,VICENTE RIVA PALACIO GUERRERO,SECUNDARIA,09DES0192N,EL ROSARIO B (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- PINTURA EN FACHADA","-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA 
-OTROS(SALIDA DE AMERGENCIA)
-REHABILITACION DE CANCELERIA Y HERRERIA
-OTROS(CUBICULOS DE PREFECTOS)
-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,SOUMAYA DOMIT GEMAYEL,SECUNDARIA,09DES0227M,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- PINTURA EN FACHADA","-REHABILITACION DE CANCELERIA Y HERRERIA 
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA
-CONSTRUCCION DE AULAS DE USOS MULTIPLES 
-OTROS(PISOS DE PATIO)",PRESENCIAL,100.00%
DGCOP,CONTRATADO,JULIÁN CARRILLO,SECUNDARIA,09DES0193M,EL ROSARIO C (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REAHBILITACIÓN DE MURO PERIMETRAL
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- PINTURA EN EDIFICIOS Y/O AULAS
- PINTURA EN FACHADA
- AULA DIGITAL","-IMPERMEABILIZACION
-REHABILITACION DE PISOS EN  ANDADORES O PATIOS
-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCCION DE AULAS DE USOS MULTIPLES",PRESENCIAL,100.00%
DGCOP,CONTRATADO,CENTRAL DE LABORATORIOS Y TALLERES No. 2,SECUNDARIA,09FLB0002N,EL ROSARIO B (U HAB),AZCAPOTZALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REAHBILITACIÓN DE MURO PERIMETRAL
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES ELECTRICAS
-OTROS(APLANADOS Y REPELLADO EDIFICIO D
-PINTURA EN EDIFICIOS Y/ O AULAS 
-REPARACION DE PISOS CERAMICOS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,LUIS R. ALARCON,PRIMARIA,09DPR1699P,MERCED GOMEZ,ALVARO OBREGON,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- PINTURA EN FACHADA
- AULA DIGITAL","-IMPERMEABILIZACION
-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE CANCELERIA Y HERRERIA 
-PINTURA EN EDIFICIOS Y/ O AULAS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,TIHUI,PREESCOLAR,09DJN0916Q,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS (COLOCACIÓN DE POLICARBONATO)
- POSTE
- PINTURA EN FACHADA","-IMPERMEABILIZACION
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-OTROS(REFORZAMIENTO DE LOSA ""CASITA""",EN LINEA,100.00%
DGCOP,CONTRATADO,NIÑOS HEROES,PRIMARIA,09DPR4515M,LOMA DEL PADRE,CUAJIMALPA DE MORELOS,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS (ARMADO DE ACERO PARA DESCANSO DE ESCSALERA, Y ENCOFRADO)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REPARACION DE PISOS CERAMICOS
-PINTURA EN EDIFICIOS Y/ O AULAS
-REHABILITACION DE CANCELERIA Y HERRERIA 
-REHABILITACION DE ESCALERAS DE EMERGENCIA",EN LINEA,100.00%
DGCOP,CONTRATADO,GABINO A. PALMA,PREESCOLAR,09DJN0519R,SAN PABLO CHIMALPA (PBLO),CUAJIMALPA DE MORELOS,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS
- POSTE
- PINTURA EN FACHADA","-REHABILITACION DE CANCELERIA Y HERRERIA
-REHABILITACION DE INSTALACIONES ELECTRICAS
-PINTURA EN EDIFICIOS Y/ O AULAS 
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-OTORS (MANTENIMIENTO EN LOSA)
-OTROS(REABILITACION DE CASA DE JUEGOS)",EN LINEA,100.00%
DGCOP,CONTRATADO,VALERIO TRUJANO,PRIMARIA,09DPR1786K,SAN PABLO CHIMALPA (PBLO),CUAJIMALPA DE MORELOS,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- CONSTRUCCIÓN DE ESCALERA DE EMERGENCIA
- OTROS (ARMADO DE ACERO, ENCOFRADO Y COLADO DE CONTRAFUERTES)
- POSTE
- BURLADERO","-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION DE INSTALACIONES ELECTRICAS
-CONSTRUCCION O REHABILITACION DE CUBIERTAS
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA 
-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
OTROS(PUERTA PARA CONTENEDORES DE BASURA)",EN LINEA,100.00%
DGCOP,CONTRATADO,ANTONIO CARRILLO FLORES,SECUNDARIA,09DES0289Z,SAN PABLO CHIMALPA (PBLO),CUAJIMALPA DE MORELOS,"- OTROS
- POSTE
- PINTURA EN FACHADA","-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-OTROS(CAMCHA DE FUTBOL)
-PINTURA EN EDIFICIOS Y/ O AULAS
-IMPERMEABILIZACION
-REHABILITACION DE NUCLEOS SANITARIOS
-REHABILITACION DE CANCELERIA Y HERRERIA",PRESENCIAL,100.00%
DGCOP,CONTRATADO,ING. JOAQUIN GALLO MONTERRUBIO,PRIMARIA,09DPR0943D,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- PINTURA EN EDIFICIOS Y/O AULAS",PRESENCIAL,82.76%
DGCOP,CONTRATADO,PROFR. ISIDRO C. TORRES MORENO,PRIMARIA,09DPR1673H,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REAHBILITACIÓN DE MURO PERIMETRAL
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REAHBILITACIÓN DE MURO PERIMETRAL
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- CONSTRUCCIÓN DE CUBIERTA DE PATIO",PRESENCIAL,35.18%
DGCOP,CONTRATADO,MARCELINO MENÉNDEZ Y PELAYO,SECUNDARIA,09DES0056J,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REPARACIÓN DE PISOS CERÁMICOS",PRESENCIAL,17.32%
DGCOP,CONTRATADO,PROFRA. ROSA NAVARRO,PRIMARIA,09DPR3169N,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- PINTURA EN EDIFICIOS Y/O AULAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE PISOS, ANDADORES O PATIOS
-OTRO(CONSTRUCCION DE BAÑOS  DE MAESTROS )
- INSTALACIONES HIDROSANITARIAS
-OTROS(RAMPAS)
-REHABILITACION DE CANCELERIA Y HERRERIA 
-CONSTRUCCION DE AULAS DE USOS MULTIPLES",PRESENCIAL,26.46%
DGCOP,CONTRATADO,GUADALUPE VICTORIA,SECUNDARIA,09DES0268M,SAN MIGUEL (BARR),IZTACALCO,"- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-IMPERMEABILIZACION
-PINTURA EN EDIFICIOS Y/ O AULAS 
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-OTROS (REJILLAS DE BAJADAS PLUVIALES)
-OTROS  (CAMBIO DE LAMINAS EN ACCESO)
-OTROS (BARDAS Y JARDINARAS)",PRESENCIAL,70.20%
DGCOP,CONTRATADO,TLACAELEL,PREESCOLAR,09DJN0448N,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REPARACIÓN DE PISOS CERÁMICOS
- OTROS (RENIVELACIÓN DE LOSA EN ZONA DE TINACOS, REHABILITACIÓN DE ALBERCA DE PELOTAS) 
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- REHABILITACION DE PISOS, ANDADORES O PATIOS
-IMPERMEABILIZACION
-REPARACION DE PISOS CERAMICOS
-OTROS (MANTENIMIENTO DE ALBERCA DE PELOTAS)",PRESENCIAL,47.63%
DGCOP,CONTRATADO,JUAN RAMON JIMENEZ,PREESCOLAR,09DJN0346Q,INFONAVIT IZTACALCO (U HAB) I,IZTACALCO,"- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS (COLOCAR PLACAS)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE PISOS, ANDADORES O PATIOS
-IMPERMEABILIZACION
-CONSTRUCCION O REHABILITACION DE CUBIERTAS 
-OTROS (REPARACION DE JUEGOS)
-OTROS(RETIRO DE ESPEJO DE AGUA)
-PINTURA EN EDIFICIOS Y/ O AULAS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,MEXITLI,PREESCOLAR,09DJN0067F,SAN MIGUEL (BARR),IZTACALCO,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE AULAS DE USOS MÚLTIPLES
- OTROS (FALTA COLOCAR LAS PLACAS DE IDENTIDAD DE LA ESCUELA Y DEL PROGRAMA)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- CONSTRUCCIÓN DE AULA DE USOS MÚLTIPLES",PRESENCIAL,100.00%
DGCOP,CONTRATADO,SECUNDARIA DIURNA 88 DR NABOR CARRILLO,SECUNDARIA,09DES0088B,JARDIN BALBUENA III,VENUSTIANO CARRANZA,"- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (FALTA COLOCAR LAS PLACAS DE IDENTIDAD DE LA ESCUELA Y DEL PROGRAMA)
- POSTE
- BURLADERO
- PINTURA EN FACHADA","- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (FALTA COLOCAR LAS PLACAS DE IDENTIDAD DE LA ESCUELA Y DEL PROGRAMA)
- POSTE
- BURLADERO
- PINTURA EN FACHADA",PRESENCIAL,100.00%
